CD_CVM,DENOM_CIA,EBIT,DESPESA_FINANCEIRA,RECEITA,LUCRO_LIQUIDO,DIVIDA_BRUTA,ATIVO_TOTAL,CAIXA,CAIXA_OPERACIONAL,ANO,DESPESA_FINANCEIRA_ABS,DIVIDA_LIQUIDA,DT_REFER,DT_RECEB
25224,2W ECOBANK S.A.,15487000.0,-2838000.0,1483275000.0,11757000.0,5117000.0,424330000.0,11588000.0,172000.0,2019,2838000.0,-6471000.0,2019-12-31,2020-09-30
25224,2W ECOBANK S.A.,97561000.0,-5687000.0,790249000.0,55064000.0,17067000.0,600526000.0,22194000.0,35145000.0,2020,5687000.0,-5127000.0,2020-12-31,2021-03-29
25224,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,-94027000.0,-41989000.0,1232587000.0,-102355000.0,1161464000.0,2054568000.0,343439000.0,-37506000.0,2021,41989000.0,818025000.0,2021-12-31,2023-05-02
25224,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,176949000.0,-110971000.0,1144806000.0,89218000.0,1482577000.0,2605936000.0,191170000.0,-110678000.0,2022,110971000.0,1291407000.0,2022-12-31,2023-09-18
25224,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,38817000.0,-204855000.0,1097488000.0,-222647000.0,2132173000.0,2951570000.0,24020000.0,-176416000.0,2023,204855000.0,2108153000.0,2023-12-31,2024-12-18
25224,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,-41464000.0,-423598000.0,535601000.0,-407042000.0,1611623000.0,1820195000.0,8363000.0,52296000.0,2024,423598000.0,1603260000.0,2024-12-31,2025-06-20
25291,3R PETROLEUM ÓLEO E GÁS S.A.,-15281000.0,-19377000.0,32400000.0,-31966000.0,0.0,396444000.0,63573000.0,-6363000.0,2019,19377000.0,-63573000.0,2019-12-31,2020-08-31
21725,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,-17819000.0,-18326000.0,0.0,-25410000.0,0.0,15883000.0,8763000.0,-11358000.0,2013,18326000.0,-8763000.0,2013-12-31,2014-03-28
21725,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,-6648000.0,-7146000.0,0.0,-11323000.0,0.0,1845000.0,69000.0,-5909000.0,2014,7146000.0,-69000.0,2014-12-31,2015-05-15
21725,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,-3286000.0,-10003000.0,0.0,-14799000.0,0.0,6681000.0,53000.0,-26000.0,2015,10003000.0,-53000.0,2015-12-31,2016-04-01
